target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0x1d95b0b6d3582feec7ef35d2ccf91564ded0cf7f,4.193016619523971,119,65,62,51,27
0xb597b202294dd5a4a616fcc2f178588bfc6d2c16,4.189283759553019,120,146,141,96,85
0xa0308ce582b8020b5279bdcbecef025ca98531ad,4.1878872488869705,121,240,190,148,98
0x10bbad85b0d79f279edbb10b3db5444c2e222c80,4.177288114291406,122,333,299,176,107
0xefa131b185de4f8965b9c1a6f02e6264cac36a28,4.1760883033464085,123,267,234,150,117
0x3450265c76c0fb04b4a6b5195aebe00314040c6f,4.170517039011527,124,141,128,90,77
0x484ec62385e780f2460feac34864a77ba5a18134,4.159295223139049,125,68,64,40,26
0x24f6a339049c93c4a97f168da9193e63eb7e8ff0,4.156149452957385,126,98,84,52,29
0x8fbdf696fad561cd053793fba5c543274f8449cc,4.156013155647536,127,15,15,9,2
0x0ea80016740a9d94ba752a037db7cf80feab8192,4.154813984707,128,11,11,9,5
0xe61c54efaa379ca8d956e15228ba00e99320675a,4.154746774589057,129,101,94,58,48
0xd7d743254bf6bae1a509f96d0369eb7f45a6f190,4.152938265627881,130,175,142,103,75
0x9ff1358d9e0d828b626bdc8dfa780c30550df938,4.152155910009991,131,119,118,107,93
0x5199d6204b788016353a201b8dad4668a71f1a8a,4.13173514879065,132,118,116,83,69
0x8981a87033bc2344f2704ce3f8f0c5d1bf009dfb,4.123774834357104,133,126,116,54,25
0x7cac437746d3ced9ec6ecc678b42142298e29a6b,4.12369401676202,134,142,137,62,49
0xc5f59709974262c4afacc5386287820bdbc7eb3a,4.107639528028437,135,92,88,23,18
0xd90a21b585cb10409eaa9117d69413271b0f98e1,4.106362182814039,136,238,226,129,111
0x1249b0222180444ed7c54fbe98f039fab5be0969,4.103899170479363,137,139,132,79,67
0x016dbc709b8c1667d7303e2c4129167d660dc010,4.100324468757447,138,159,135,80,60
0x36356e0284dc9adccc72649833d453fcf229b630,4.100191223533194,139,136,122,76,56
0x34601a71eebf75d0e6823c88070d32d2c389ae5f,4.094135994808904,140,8,8,6,1
0x53b77b9a06dd7e11aee247957784d76484fff540,4.088826867187712,141,228,217,126,105
0xc3e5337970ebeff1853bdfb706d0d70436247631,4.079333340073796,142,287,283,155,148
0xf9eefdb0738147bef77e3b8998fd8b96618552f0,4.073169102903623,143,110,100,57,39
0x3fd0cda80a210e2eb49720998fe80bfaf0e04361,4.06787273924765,144,69,58,52,39
0xb8fd8687e854453c0b2a96fd559950fa9f3327d7,4.060217800189064,145,108,102,55,42
0xe1f541daee7601ed638765a61f308670cf446d3c,4.055986305124232,146,80,74,56,43
0xe01a97fc4607a388a41626d5e039fdecbfc6acd9,4.051561640165705,147,137,116,80,52
0x2e0d63ffcb08ea20ff3acdbb72dfec97343885d2,4.050061429468983,148,185,171,93,74
0x3298492ee2689911866ebb01a1774db060ad6a7c,4.049130658254069,149,7,7,3,2
0x7233581a7380acd4510dc5ffbdf9bbba348da1cd,4.045184078057168,150,187,174,96,76
0x31fb82b19f4b17b4a6956358a62362a57933c7e6,4.044935733052908,151,225,210,135,111
0x9499054d02a725316d61fa896c29d58550ee4a5b,4.040628183398401,152,109,102,63,51
0x45ab04c54264f485eef8db0c20e531e9d37cd53a,4.034200868696628,153,108,90,61,39
0x0086e763bb526c5cc79409ef701ddb3ac203d423,4.030015884879141,154,92,67,62,56
0x1609dca16fcea385770edc88900a7db218645f5c,4.026698224138328,155,86,83,51,42
0x2ea4815f47d685ed317e8bd243b89bcb26b369fa,4.025025234058965,156,740,724,412,367
0x45180317b52d63077e8ed0c36073c6bf8429a876,4.022230076189175,157,154,148,78,59
0x13a7d2fb3f73b57ef539c35c4ec59ed49b1833ca,4.021449673894517,158,143,131,97,73
0xdb912fab7ab5fd40f17fd470573b3b999c62232c,4.021351098228941,159,215,205,136,111
0x9695cfddea925e36dc656dd2d078019e14a95ac1,4.015128712940626,160,165,161,103,97
0x3bbcf2972299e6da5ef830af78791e3a7ed7278d,4.008567579888821,161,135,132,81,63
0xeadec2943c2bf5736f1434d241e5a12df5079a33,4.004476768771752,162,136,118,47,34
0xc332f7d5bcc09ca423d88a3fc1b6694474a455ac,3.993104974116001,163,127,118,77,66
0x5d02f0d074b28c31697bf563c699c098532fb151,3.989617134676895,164,172,155,107,80
0x4bc739c61818c15765272fb90435530687ab9caf,3.989056249261023,165,88,80,48,29
0xfdc3e8edd74a90fe971ef7d56a0c66c870b10f5d,3.988934428140496,166,117,106,84,66
0xdfef68b86eff06691e3edfaebf620c84eb86f0e3,3.988059394699568,167,115,113,98,13
0x4d375162aa60bd039b5cd8f75f60b328f8002779,3.987789460588158,168,80,79,36,32
0x9760f458db0a9ffabc0012141e1195ddf01570a0,3.983824852887505,169,71,69,64,59
0xf3772ac6a4a92d74d2e20512bdf36c56fe82a445,3.9812113803283142,170,165,153,110,102
0x02699738962ada8fd55bd7e4e479abc9e848205a,3.9789433728701273,171,49,47,30,23
0xf6f68f470b79843c37eb087e0c7351c4b6fdd9f7,3.974782275853852,172,183,181,121,115
0xdb6b6395b8a748ea7e9df7aac3a79f184a37651d,3.97315147637168,173,222,201,151,138
0x932dc5c0544c9591f27f7ba3d720314e441a3af7,3.971316720866077,174,187,176,130,111
0x25665e8b95792c23d6167d2d0903fdc6bfef87e9,3.969089777268108,175,117,103,65,53
0x54ccbb5c380f2543bf210bebb0784878784868f7,3.961708008983592,176,153,140,92,70
0x41797b5e0398af475422f6f33f2dc81d9a24ae33,3.956528043672645,177,276,191,139,100
0x79c5146bd916944b4f4aee4c2447644be2b78e0f,3.944998154398296,178,135,126,88,72
0xa42e1debeba42786a4d2b8226927291462271e96,3.9352998809750495,179,147,127,82,65
0xeeee451963d5a81c9d94776c9519abb6b6342ad5,3.931694580514785,180,245,227,127,114
0xb412f82383d0f9a97e3be04598ea79cd4af96d51,3.930558313006601,181,73,68,36,25
0xcbf3c9b38003fa550a7bff5206366c1f62480ba7,3.9270817924117782,182,371,361,182,161
0x50af68c8fe5c0c5a9cb11bc0edad3cd678b71293,3.92092294140757,183,38,35,28,12
0x2d036b57ec3713704db5fbdf0ec3f5991cb79a08,3.918381101871774,184,85,80,57,43
0xe9b80b4cf85d7709583dff27c1f51b289cd1e152,3.914285932627206,185,8,8,1,1
