target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0x596dc4bb87c9d7dc4e227906b2fd6651ae2e6fd9,0.9520641526884432,161,57,55,39,31
0x316782400ac34966796c58f1bb46a0ee8a07d234,0.9519695632067936,162,4,4,2,1
0xc9d42afc4f867c4c3f28e78ae50e65001998f5e9,0.951917013494766,163,273,224,108,92
0x766779a58e4a7db930cf268c67e9abe2f3a5d5db,0.9519065035523604,164,15,14,8,4
0x1c829a9a62c9c8d102a4cdc4eaa3d2ec531b325c,0.9513284567200572,165,39,38,18,16
0x7cac437746d3ced9ec6ecc678b42142298e29a6b,0.9512548871232186,166,142,137,62,49
0x116723a14c7ee8ac3647d37bb5e9f193c29b3489,0.950918568966242,167,94,78,45,31
0x9c748a6b2fd26757f6d15b82f4bf7f7aef66f4bb,0.950487661327616,168,57,56,31,20
0xbdb0dd845e95d2e24b77d9bef54d4df82baf8335,0.9501093034010174,169,88,83,71,51
0x7ef61cacd0c785eacdfe17649d1c5bcba676a858,0.949552276453525,170,643,580,359,291
0xd7d743254bf6bae1a509f96d0369eb7f45a6f190,0.9494997267414976,171,175,142,103,75
0xd1fcee6712c459e1fb6fcbb0e09a21b14bcb9007,0.9492579980661708,172,14,13,10,5
0x3b0aa499cc6acde1d4a7433da6968d7bb8bd8509,0.9488060705427334,173,30,26,18,12
0x2d368d6a84b791d634e6f9f81908d884849fd43d,0.9486484214066508,174,241,171,108,95
0x26aac5642c550eb89e6ea308374dca8d6edab3a0,0.9484172026737292,175,87,77,52,34
0x8820e3d0f8bf71fa7e733a901140537d30c3ab8f,0.9483751629041074,176,208,146,134,121
0xc569ddad0ba0f22fce53b0422a0f80acc9f8b1d3,0.9483541430192962,177,19,19,2,1
0x66194a01a2b741bd6656eb7a5ba923900760676f,0.9481649640559968,178,406,400,244,232
0x6e63a4caeccb4f341ee9c9175c9cc554bdb6d10b,0.9481334342287804,179,120,111,45,29
0x16c992e55b4f0d8ebf5973daec2ceb882c86fd17,0.9479652751502922,180,281,258,168,152
0x255148be130862531729937152d82c51142a5d56,0.947839155841426,181,12,11,9,2
0x5c70af3ddc7e815a40f2a09d22483e6e24eddf8e,0.9475658973388826,182,50,44,26,20
0x59427cd74811cd0528fa8169ef553c5cf4960ef3,0.947492327742044,183,153,147,120,75
0x13bd01008aa2bca93cbb4c5c950825f6d70e5498,0.9470509101610124,184,64,54,37,23
0x9bf2d9db244785131b13e85625fcf5ab1dd5d9c3,0.9466410224071972,185,89,83,27,22
0xe2b9f0757a9e2813fae323aefd89ec8be706104a,0.9465254130407366,186,63,57,51,47
0x9dbe56e65961146525d796bdc008225bd5915a4f,0.9463572539622483,187,88,87,15,7
0x38ff9837ccddf029f1fd319f9252acb1881d9927,0.9457266574179174,188,109,95,63,53
0xf9117ae62fc43605b12b98c527bac262bb517461,0.9455059486274014,189,155,151,131,119
0xba0995c52474dfb7c48181f71454a63a2847982c,0.9454639088577794,190,128,116,81,66
0x29a8fcdbe61302b42b05da77c7db2ef21ff630ca,0.945453398915374,191,15,14,5,2
0xaa4ea7de31fa57cf051cac897291f53489be47a8,0.9453588094337242,192,90,86,30,19
0x1aae1bc09e1785c8cb00650db0c6015bd73b0c7e,0.9452747298944802,193,70,64,25,16
0x8ffa26e287c697ea57c6d31372179cd3a4d35e53,0.9449699415647204,194,163,154,86,75
0x580191a3e522b35632730f094e0737f1f45c3fde,0.944843822255854,195,17,17,9,7
0xe46df87d3fc3c68c71b9adfcecb6479e285021d9,0.9444234245596336,196,216,186,97,88
0xfec4465b6aeac9c90e552ae7766bdc0ee0d8dbc9,0.943561609282381,197,13,11,7,3
0xb5a4e4cb6aaa9f6ea1e00444251682e0f20f86ea,0.9428364232564008,198,18,18,12,7
0x88febd0a4ab094ef59954cb229235316a2d15952,0.9425946945810738,199,64,61,19,10
0xa5430730f12f1128bf10dfba38c8e00bc4d90eea,0.9425946945810736,200,43,39,20,7
0x92a7bd65c8b2a9c9d98be8eaa92de46d1fbdefaf,0.9425316349266404,201,127,118,93,80
0x19e7a132bd4b42f580f546197f42e19c42cdfe6c,0.9424790852146132,202,39,36,22,5
0x0c9e725902f2eeec063c16d253f38684e3192001,0.9424790852146128,203,56,51,32,15
0x769ebe155dfa8b7f5ec6b1b138f4d7e741774e64,0.9423319460209356,204,80,72,64,54
0x4d255d9b31aa437a0df8d02565c99d0faa6ed49c,0.9422899062513136,205,39,36,13,3
0x41db2348f54dbab35908594a3a47e9c3e2c71bfe,0.942279396308908,206,21,18,7,1
0x5d02f0d074b28c31697bf563c699c098532fb151,0.9422058267120696,207,172,155,107,80
0x61b04d2b5cb1f1f8505e7b4e1cb3d9e8a0b15bae,0.9420166477487704,208,149,112,76,52
0x0b3abab368616a5db055f2030a0a2a3b00144a45,0.9419851179215538,209,72,62,33,20
0x3e244e73776e6bb4e9d0b14b8ec562e8d3aed560,0.941764409131038,210,82,73,45,30
0xf371875a0045b1fd61c4b1166066dcdd3bde1bb6,0.9416698196493885,211,25,23,10,6
0xf248a71dc0b1bbd4ffb6093207c78a9eecd1c2ca,0.9415121705133056,212,15,14,8,4
0x6f72f9fe1f3a7f188b5c394138f4508f79e35323,0.941112792701896,213,404,372,259,236
0x66d5527411d821cb513f2d214bbbc0ad73586b35,0.9410182032202464,214,91,88,57,47
0x61c371ba956c7f2fbe0913843de98c5e55be8ee7,0.9408815739689746,215,154,133,100,84
0x78f66d1f6f40807a88daa0ba2892ef3a7d28c927,0.940808004372136,216,80,73,53,44
0x37009f9ae9dcc0a6d59204e1aeaf9da4968caec8,0.9405872955816202,217,50,41,16,7
0x9aaddc5040d2093dc0dafc0803cbfca822341bca,0.9405767856392148,218,41,40,11,7
0x512c579153ac6fd961a7d9e7b19281b855aafbe1,0.940461176272754,219,70,66,42,30
0xe4cd5b52b309fd29a30ad24a4ec55af76d1c92a1,0.9399461890948836,220,38,35,19,14
0xbd7a1c16d7b3af4af6d1a0fd7437466d765656ce,0.9396308908227184,221,15,15,6,1
0x34805e6a3796fb04e82183667a78c2f7bff29170,0.9395993609955018,222,112,78,46,34
0x840f5d0fa8ac1f000287dfe54c97d4e76b058ef1,0.9395152814562576,223,32,28,20,9
0x9bc910f14b0ee83689b9f49337b1dfd2962dbb94,0.9393471223777692,224,52,48,34,25
0x10ac96adabc52de2909da2b1b3cb6821830449ba,0.9393050826081474,225,53,51,37,27
0x8a651d64e05e1ebd6612e36ecec5184f549e4106,0.9392420229537142,226,146,126,104,79
0x28a2ba651fea4e0f0d850f77d39f6fdb51290204,0.939199983184092,227,94,78,55,39
0x1de9d1ce8cba16c98ad50d0f902e6feacbb35df9,0.9390108042207927,228,15,12,6,3
0x3679aac6ffe31058bc24dace86853f166a74dfdd,0.9388321351998992,229,122,103,70,44
0x9499054d02a725316d61fa896c29d58550ee4a5b,0.9388321351998992,230,109,102,63,51
0x18df32b9ab07cb17fcdd668519041ca5058eb552,0.938811115315088,231,0,0,0,0
0x8355dbc1bf959bbc2805df0344c3958e3416eb84,0.9385378568125446,232,21,18,16,10
0xfd2204757ab46355e60251386f823960acccefe7,0.938180518770757,233,536,518,469,441
