m1,m2,K,overlap,overlap_frac,jaccard,random_expected_overlap,random_expected_jaccard
C_struct,D_ig_act,25,0,0.0,0.0,0.03372188089265556,0.0006748927909393386
C_struct,D_ig_act,50,0,0.0,0.0,0.13488752357062225,0.0013506971576531196
C_struct,D_ig_act,100,0,0.0,0.0,0.539550094282489,0.0027050480159727286
C_struct,D_ig_act,250,0,0.0,0.0,3.3721880892655562,0.006790171650458602
C_struct,D_ig_act,500,0,0.0,0.0,13.488752357062225,0.013673186584836997
C_struct,D_ig_act,1000,47,0.047,0.024065540194572452,53.9550094282489,0.027725468676033455
C_novol,C_struct,10,6,0.6,0.42857142857142855,0.01261193088661874,0.0006309944472488641
C_novol,C_struct,25,16,0.64,0.47058823529411764,0.07882456804136713,0.0015789806101181077
C_novol,C_struct,50,35,0.7,0.5384615384615384,0.3152982721654685,0.003162955465587044
C_novol,C_struct,100,76,0.76,0.6129032258064516,1.261193088661874,0.006345982992765579
C_novol,C_struct,250,185,0.74,0.5873015873015873,7.882456804136713,0.01601742696053306
C_novol,C_struct,500,408,0.816,0.6891891891891891,31.529827216546852,0.03255632243781743
C_novol,C_struct,1000,846,0.846,0.733102253032929,126.11930886618741,0.06730380939561179
C_novol,D_ig_cp,10,0,0.0,0.0,0.00539550094282489,0.0002698478453564465
C_novol,D_ig_cp,25,0,0.0,0.0,0.03372188089265556,0.0006748927909393386
C_novol,D_ig_cp,50,0,0.0,0.0,0.13488752357062225,0.0013506971576531196
C_novol,D_ig_cp,100,2,0.02,0.010101010101010102,0.539550094282489,0.0027050480159727286
C_novol,D_ig_cp,250,12,0.048,0.02459016393442623,3.3721880892655562,0.006790171650458602
C_novol,D_ig_cp,500,44,0.088,0.04602510460251046,13.488752357062225,0.013673186584836997
C_novol,D_ig_cp,1000,132,0.132,0.07066381156316917,53.9550094282489,0.027725468676033455
C_novol,D_ig_act,10,0,0.0,0.0,0.00539550094282489,0.0002698478453564465
C_novol,D_ig_act,25,0,0.0,0.0,0.03372188089265556,0.0006748927909393386
C_novol,D_ig_act,50,0,0.0,0.0,0.13488752357062225,0.0013506971576531196
C_novol,D_ig_act,100,0,0.0,0.0,0.539550094282489,0.0027050480159727286
C_novol,D_ig_act,250,0,0.0,0.0,3.3721880892655562,0.006790171650458602
C_novol,D_ig_act,500,0,0.0,0.0,13.488752357062225,0.013673186584836997
C_novol,D_ig_act,1000,44,0.044,0.022494887525562373,53.9550094282489,0.027725468676033455
D_ig_act,D_ig_cp,10,0,0.0,0.0,0.03334444814938313,0.0016700066800267202
D_ig_act,D_ig_cp,25,0,0.0,0.0,0.20840280093364455,0.004185501423070484
D_ig_act,D_ig_cp,50,0,0.0,0.0,0.8336112037345782,0.008406186953597848
D_ig_act,D_ig_cp,100,0,0.0,0.0,3.334444814938313,0.0169548999660902
D_ig_act,D_ig_cp,250,0,0.0,0.0,20.840280093364456,0.043493389004871263
D_ig_act,D_ig_cp,500,0,0.0,0.0,83.36112037345782,0.09094216078574027
D_ig_act,D_ig_cp,1000,341,0.341,0.2055455093429777,333.4444814938313,0.20008003201280514
A_vol,B_act,10,5,0.5,0.3333333333333333,0.005399859603650305,0.0002700658960786432
