snapshot_date,target_address,target_sequence_index,cp_type,stratum,activity,pop_weight,pool_n,truth_in_pool,cheap_rank,cheap_rr,obs_rank,mask_rank,full_rank,full_rr,full_parse_ok,belief_shift,mask_sensitive,nocf_rank,nocf_rr,nocf_parse_ok,llm_calls,prompt_tokens,completion_tokens,total_tokens,nocf_total_tokens,latency_s,model
2022-06-01,0xcbeda136b27939256907b07922c6e83f07b94802,969,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,True,1.0,1.0,1,4,9464,400,9864,3053,20.189,glm-5.3
2022-06-01,0xaafb164259d27122530aef535dcd059f5b3dc844,2430,repeat,repeat_hard,high,972.304,53,1,4.5,0.2222222222222222,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,9479,489,9968,3071,100.745,glm-5.3
2022-06-01,0x4d8b1b88499a2ff701678a5f648bc365f5d41694,83,repeat,repeat_hard,low,72.992,38,1,4.5,0.2222222222222222,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,7254,405,7659,2374,46.243,glm-5.3
2022-06-01,0x9d3878bfef2368280462f8c73d9b09695b07cd3b,81,repeat,repeat_hard,low,72.992,34,1,2.5,0.4,13.0,14.0,13.0,0.07692307692307693,1,flip,True,9.5,0.10526315789473684,1,4,6651,493,7144,2116,19.47,glm-5.3
2022-06-01,0xecfbf95f3dc48b2b74921ef3e798e45e3188fe6a,94,repeat,repeat_hard,low,72.992,27,1,5.5,0.18181818181818182,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,5610,374,5984,1758,16.227,glm-5.3
2022-06-01,0x4ec5b2606ac7d20b1b0030d156f6d789b5873abd,64,repeat,repeat_hard,low,72.992,29,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,,0,1.0,1.0,1,4,5544,323,5867,1862,160.018,glm-5.3
2022-06-01,0xfd764d25767b6cded52805aad29e6677b7e68668,146,repeat,repeat_hard,low,72.992,34,1,5.5,0.18181818181818182,3.0,3.0,3.0,0.3333333333333333,1,reinforce,False,3.0,0.3333333333333333,1,4,6663,411,7074,2112,41.611,glm-5.3
2022-06-01,0x6afdab9ebd31753f2d3106e4eae20a1de27776e8,944,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,7.0,1.0,1.0,1,reinforce,True,1.0,1.0,1,4,9494,383,9877,3062,25.152,glm-5.3
2022-06-01,0x5560a6e16411a4eba2e6e2b8573e21538f1965d3,146,repeat,repeat_hard,low,72.992,40,1,4.5,0.2222222222222222,1.0,2.0,1.0,1.0,1,weaken,True,1.0,1.0,1,4,7533,424,7957,2427,29.624,glm-5.3
2022-06-01,0x27b56cba31b010245cd50889c2ff3ed5b3a55992,169,repeat,repeat_hard,low,72.992,41,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,7707,379,8086,2462,25.851,glm-5.3
2022-06-01,0x5848aaeacd1580b7a93cf92651f2d143cbe2d6c5,1455,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9485,444,9929,3063,22.193,glm-5.3
2022-06-01,0x0f5050adaa271deff7db29bf5b5108891aea137b,124,repeat,repeat_hard,low,72.992,33,1,3.5,0.2857142857142857,8.0,1.0,1.0,1.0,1,flip,False,8.0,0.125,1,4,6498,436,6934,2087,75.58,glm-5.3
2022-06-01,0x115d72b1945270a4e0247371aaf5f4434aad3fde,2163,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9473,399,9872,3046,87.944,glm-5.3
2022-06-01,0x98388199aec4c7489b92b09c630fdb022102a429,164,repeat,repeat_hard,low,72.992,47,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,8583,407,8990,2767,16.5,glm-5.3
2022-06-01,0x78913e6a689233360dc828d6b618f01033e19dc7,266,repeat,repeat_hard,low,72.992,30,1,2.5,0.4,6.0,5.0,5.0,0.2,1,flip,True,5.0,0.2,1,4,6048,462,6510,1919,15.705,glm-5.3
2022-06-01,0x393f6c5abb4fdf73cf467fa4383010d59d62ddfc,151,repeat,repeat_hard,low,72.992,28,1,2.5,0.4,,5.0,5.0,0.2,0,,,5.0,0.2,1,3,3538,201,3739,1806,205.521,glm-5.3
2022-06-01,0x89890009eb4ece248bce10dc942ed45930c415d7,562,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,True,1.0,1.0,1,4,9473,417,9890,3059,28.14,glm-5.3
2022-06-01,0xc30ff4f242d355ca012514c03cc63004b4616b3b,5089,repeat,repeat_hard,high,972.304,53,1,2.5,0.4,6.0,6.0,6.0,0.16666666666666666,1,reinforce,False,6.0,0.16666666666666666,1,4,9475,418,9893,3078,13.891,glm-5.3
2022-06-01,0xdc40cbf86727093c52582405703e5b97d5c64b66,72,repeat,repeat_hard,low,72.992,32,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,6357,391,6748,2053,15.409,glm-5.3
2022-06-01,0x49c4dfc5367b42f2445621479dc9421908414402,1096,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,8.0,1.0,1.0,1.0,1,flip,True,8.0,0.125,1,4,9458,447,9905,3064,17.651,glm-5.3
2022-06-01,0xc4530320c39ce96efc59f8d61c8818b56540e397,365,repeat,repeat_hard,high,972.304,44,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,8145,383,8528,2602,17.009,glm-5.3
2022-06-01,0xed727248627fda303a1794f5da747215b6314330,137,repeat,repeat_hard,low,72.992,38,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,7251,367,7618,2312,31.362,glm-5.3
2022-06-01,0x05654535a045edb0bd6026f82d894db5c48b757a,74,repeat,repeat_hard,low,72.992,38,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,7260,369,7629,2324,18.049,glm-5.3
2022-06-01,0x6c93fd53bc54a4d5f2f43781382dc6c7dbe93512,469,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,weaken,True,1.0,1.0,1,4,9471,420,9891,3066,19.136,glm-5.3
2022-06-01,0x8c7501016f3ab5773cb32a7ec29cfdec99b19d80,79,repeat,repeat_hard,low,72.992,28,1,2.5,0.4,10.0,13.0,10.0,0.1,1,weaken,True,10.0,0.1,1,4,5748,413,6161,1807,17.346,glm-5.3
2022-06-01,0xea69cd4e818ffaf812fe31fdb9699470fca7cc40,263,repeat,repeat_hard,low,72.992,30,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,6054,346,6400,1913,13.1,glm-5.3
2022-06-01,0x0447b0246fc09fc37b1d977b039281b72158ef3a,132,repeat,repeat_hard,low,72.992,41,1,4.5,0.2222222222222222,,2.0,2.0,0.5,0,,,7.0,0.14285714285714285,1,3,4838,223,5061,2457,114.871,glm-5.3
2022-06-01,0x65b27ba7362ce3f241dafdfc03ef24d080e41413,3749,repeat,repeat_hard,high,972.304,53,1,2.5,0.4,9.0,6.0,6.0,0.16666666666666666,1,flip,True,9.0,0.1111111111111111,1,4,9488,487,9975,3058,15.341,glm-5.3
2022-06-01,0x4c8f62f1498fa55d4158cdbfea7783f84556a68e,2842,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,12.0,1.0,1.0,1.0,1,flip,True,12.0,0.08333333333333333,1,4,9491,383,9874,3063,67.463,glm-5.3
2022-06-01,0xfa9a358b821f4b4a1b5ac2e0c594bb3f860afbd8,214,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,14.0,0.07142857142857142,1,4,9489,407,9896,3064,60.438,glm-5.3
2022-06-01,0x41a420856b3828462ea555c736caa93ccf022391,4859,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,True,1.0,1.0,1,4,9466,403,9869,3051,17.048,glm-5.3
2022-06-01,0x8d44bb7001d613f20cbb4a3931e1126ecd9220f8,944,repeat,repeat_hard,high,972.304,53,1,4.5,0.2222222222222222,2.0,2.0,2.0,0.5,1,reinforce,False,26.0,0.038461538461538464,1,4,9488,545,10033,3173,66.758,glm-5.3
2022-06-01,0xc91915d01bb96ec08b9b5fd767034de9cd390f17,83,repeat,repeat_hard,low,72.992,33,1,3.5,0.2857142857142857,6.0,1.0,1.0,1.0,1,flip,True,6.0,0.16666666666666666,1,4,6498,422,6920,2062,11.922,glm-5.3
2022-06-01,0x326891e8f4934d02abf214a8df279d71fb5ab9e5,446,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,40.0,1.0,1.0,1,weaken,True,1.0,1.0,1,4,9473,401,9874,3046,25.023,glm-5.3
2022-06-01,0x7ef61cacd0c785eacdfe17649d1c5bcba676a858,9566,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,10.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9481,398,9879,3068,108.86,glm-5.3
