experiment_id,eval,K,selector,baseline,n_events,n_wallet_clusters,bootstrap_B,point_incremental_diff,ci95_low,ci95_high,p_two_sided,relative_improvement_vs_baseline,holm_p_all_registered_comparisons,holm_p_primary_K100_family
SEL_STATS_001,test_aug,500,dynamic_influence,activity,1000,841,2000,0.007723814651777791,-0.003333538331727296,0.01964657261104697,0.21689155422288856,0.12372594911195496,1.0,
SEL_STATS_001,test_aug,500,dynamic_influence,static_pagerank,1000,841,2000,0.012956145727043115,-0.0026789275102176075,0.02883754200181047,0.11594202898550725,0.22652796248810328,1.0,
SEL_STATS_001,test_aug,500,dynamic_influence,no_selection,1000,841,2000,0.07015061119054429,0.04992518587975735,0.09113801825826702,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,test_aug,1000,hybrid,random,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,hybrid,volume,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,hybrid,activity,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,hybrid,static_pagerank,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,hybrid,no_selection,1000,841,2000,0.10990787768993127,0.08263252750752613,0.13879133857397333,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,test_aug,1000,reasoning_value,random,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,reasoning_value,volume,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,reasoning_value,activity,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,reasoning_value,static_pagerank,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,reasoning_value,no_selection,1000,841,2000,0.10990787768993127,0.08263252750752613,0.13879133857397333,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,test_aug,1000,dynamic_influence,random,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,dynamic_influence,volume,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,dynamic_influence,activity,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,dynamic_influence,static_pagerank,1000,841,2000,0.0,0.0,0.0,1.0,0.0,1.0,
SEL_STATS_001,test_aug,1000,dynamic_influence,no_selection,1000,841,2000,0.10990787768993127,0.08263252750752613,0.13879133857397333,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,holdout_sep,10,hybrid,random,1000,824,2000,0.0032234845122761503,0.00024393171697301196,0.0073582893738681045,0.028985507246376812,3.890884270046747,1.0,
SEL_STATS_001,holdout_sep,10,hybrid,volume,1000,824,2000,0.0006417681089923315,-0.004045532052767879,0.005519153235940764,0.8055972013993004,0.18819145288745698,1.0,
SEL_STATS_001,holdout_sep,10,hybrid,activity,1000,824,2000,0.004759180401880149,0.0008314193232147794,0.009416631768694003,0.01199400299850075,6.729372799500837,1.0,
SEL_STATS_001,holdout_sep,10,hybrid,static_pagerank,1000,824,2000,0.0032907508693619876,-0.00013947432960321042,0.007624735753619965,0.06496751624187906,4.323083417553081,1.0,
SEL_STATS_001,holdout_sep,10,hybrid,no_selection,1000,824,2000,0.004051955442931053,0.001094816959115638,0.008236835016145937,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,holdout_sep,10,reasoning_value,random,1000,824,2000,0.00229633821992481,-0.0007110154312258059,0.006062776400473888,0.14792603698150925,2.7717788699110595,1.0,
SEL_STATS_001,holdout_sep,10,reasoning_value,volume,1000,824,2000,-0.00028537818335900856,-0.005119138131063674,0.00444218506499881,0.9115442278860569,-0.08368401950206075,1.0,
SEL_STATS_001,holdout_sep,10,reasoning_value,activity,1000,824,2000,0.0038320341095288103,-1.2862343128876114e-05,0.008236087685708821,0.054972513743128434,5.418409038084619,1.0,
SEL_STATS_001,holdout_sep,10,reasoning_value,static_pagerank,1000,824,2000,0.0023636045770106485,-0.0010690083250743092,0.006532212243288099,0.18590704647676162,3.1050845713241064,1.0,
SEL_STATS_001,holdout_sep,10,reasoning_value,no_selection,1000,824,2000,0.0031248091505797133,0.00014917125017607885,0.006946250800651509,0.04397801099450275,,1.0,
SEL_STATS_001,holdout_sep,10,dynamic_influence,random,1000,824,2000,0.0009866796436951081,-0.0017870217896819196,0.00443300478094138,0.5527236381809095,1.1909647124433709,1.0,
SEL_STATS_001,holdout_sep,10,dynamic_influence,volume,1000,824,2000,-0.001595036759588711,-0.00625357601475348,0.002984810540261294,0.4757621189405297,-0.46772702007149397,1.0,
SEL_STATS_001,holdout_sep,10,dynamic_influence,activity,1000,824,2000,0.002522375533299108,-0.0011553600402996317,0.006968794464693003,0.19890054972513743,3.5665816108176376,1.0,
SEL_STATS_001,holdout_sep,10,dynamic_influence,static_pagerank,1000,824,2000,0.001053946000780946,-0.0022627790463311567,0.004776303998687173,0.5557221389305347,1.3845765479827623,1.0,
SEL_STATS_001,holdout_sep,10,dynamic_influence,no_selection,1000,824,2000,0.0018151505743500107,-0.000938089332372162,0.005263549350939034,0.24287856071964017,,1.0,
SEL_STATS_001,holdout_sep,25,hybrid,random,1000,824,2000,0.010214351031812894,0.004568473335980908,0.01664740979506164,0.0009995002498750624,4.931664179810627,0.3148425787106447,
SEL_STATS_001,holdout_sep,25,hybrid,volume,1000,824,2000,0.008336370569678906,0.0005576318762624289,0.016501063500863184,0.03698150924537731,2.1109236489314127,1.0,
