target_address,bridges_events,icf_score_p1,icf_raw_signal,p1_rank
0x9250f8149067fc068189f95e92f0eea9673f62d0,185,90.3079,0.6584,209
0x13bd01008aa2bca93cbb4c5c950825f6d70e5498,509,89.4295,1.6967,210
0x602a11d81c74f51fbae38272cf166f6ffd46518c,112,89.3975,1.3494,211
0x3443c780b8f101f5a4cce1d1b3b414c999a79fc9,443,89.2342,4.6632,212
0x81280e05e74143fca3dd7e44fb0197710df6d863,790,88.6647,17.9545,213
0x2052051a0474fb0b98283b3f38c13b0b0b6a3677,253,88.4878,2.8427,214
0x62ce1d739b9bc6ab5f716a772ea585425d3843b1,1182,88.1116,3.6822,215
0xa7c420ba706fccfdf6bc48994ac1706220aa65bf,106,87.9483,6.2353,216
0x99bd39a9799e25015cf3a258f32a07b952e9d3eb,147,87.9298,3.973,217
0x6e1439897528baf2d3da007585836a64298ff854,405,87.3115,4.7093,218
0xb32b4350c25141e779d392c1dbe857b62b60b4c9,337,87.2416,0.7642,219
0x1010595f96ab62b31bfeac411ec5f8f60db5dc23,129,87.1805,2.4808,220
0xb99ad00ae0b27d980a4c236c41ed685d2bfe159a,673,87.0224,7.4778,221
0xc30ff4f242d355ca012514c03cc63004b4616b3b,1348,86.987,4.1098,222
0xb6c4ce4eae85066f8fc45093d12444c8b89a6aa9,422,86.4038,5.6267,223
0xefb9d0f98bc9a909873158c0f832fa5a60fcf0eb,275,85.6702,4.2969,224
0x9021c44e36f9994dd860d223c4306300b4655da5,90,85.2432,4.5,225
0x773acf0bea96d47dcb7d3ed4a7427e287000418c,181,85.0416,3.6939,226
0x473ac44a488ffc3f8237f45e469f60b416690f3d,235,84.9759,7.3438,227
0x0f8176c597aa2136b54bca3f10e098c668fa2ccb,1092,84.9524,2.5514,228
0xc376de0f2e83a08e133b1ed6a92bbebb4947574f,161,84.869,8.05,229
0x043282267fdd6707a79d710986cb33bb796ab968,169,84.8497,1.9651,230
0x8b5b9497e096ee6ffd6041d1db37a2ac2b41ab0d,195,84.749,2.5658,231
0xc66135b1671ad1f2cae217ff19234a77f7a0b00c,95,84.4351,1.6667,232
0x1360fc7a6263cbc0c2b7f1527efb6430b1265e67,346,84.4014,2.7031,233
0x604c4365ec2f35f01df0470cc1d92248d6186a5b,175,84.2923,2.1605,234
0x283315aa1ef373fcda00ef8e60743104ad9be012,233,84.0568,4.5686,235
0x0b3abab368616a5db055f2030a0a2a3b00144a45,198,83.7477,1.9604,236
0x4df85d5d7574ec0f6c25e70936169d73c0087ca3,176,83.7058,2.7937,237
0xa5430730f12f1128bf10dfba38c8e00bc4d90eea,295,83.6157,2.2868,238
0x469a7f8759ecbbb60853ca2098c9316442a34c5d,132,83.162,3.0698,239
0x628c10bc9b27e1215f68130c26e90c2d21e2058a,267,83.0693,5.1346,240
0x11fa0722b3e790d9974f7b5d72b11b2e6497e10f,388,82.8326,9.4634,241
0xc9d42afc4f867c4c3f28e78ae50e65001998f5e9,857,82.6555,3.2097,242
0x65b27ba7362ce3f241dafdfc03ef24d080e41413,431,82.5597,1.5963,243
0x5f03622ec2aa940b0eba0f52149051d4a62e6c89,639,82.3517,30.4286,244
0x5fd2c02689d138547b7b1b9e7d9a309d5a03edcd,1315,82.2661,2.3609,245
0xb2c2859edc01cfe7bf89358e4ac748b01e0798a1,132,82.2279,14.6667,246
0x766779a58e4a7db930cf268c67e9abe2f3a5d5db,311,82.073,4.5735,247
0x16b455845bc5fe610a679ccd8833b12fe5c7665a,127,82.0388,3.3421,248
0x354ddeba429d9e43ec1438af5319b2158ad36afd,282,82.0132,4.7,249
0x436d637e0f602f345f7d7ea6c07ffdda7d997961,1161,81.9303,2.3267,250
0x3e809c4767463ff5e52f5b9443e881cc796be301,114,81.6583,16.2857,251
0x1dc301854bfecb4ba03eb417579585c2b8ea12c1,381,81.5845,2.1525,252
0x1c829a9a62c9c8d102a4cdc4eaa3d2ec531b325c,286,81.2306,3.4458,253
0x97153f61d3fdb5e04b6617678eda36db644ea7e7,107,80.8764,11.8889,254
0x770e03a11bf9f60d16f578241a4548575aeb3b1a,322,80.7179,2.458,255
0x1249b0222180444ed7c54fbe98f039fab5be0969,677,80.4025,1.6675,256
0xd44f9db7c700aecc2b735ed2b2eb9463f8a494e4,191,79.8477,9.55,257
0x1af8c7140cd8afcd6e756bf9c68320905c355658,113,79.806,0.9912,258
0x15cfc0e6b7e0b67632e0672cee7b0a66cc643852,536,79.6204,9.2414,259
0x118bf0693d1f51541e28253e67bb1d88ab24b7b8,252,79.5543,3.9375,260
0x27b2a467e943e4ff32b35b5229ae12f4359227ee,597,79.3006,2.3597,261
0x1afcf25389ffa59b6d822829a9a553ce50713f4e,135,79.2865,7.9412,262
0x8b0e5d5df0dbb29b903954a12d6bb752d8af44b4,438,78.9796,4.9213,263
0xc821ee063c0abe2be67d0621b676c2bcaa63cf4b,262,78.8121,3.1951,264
0x40ebf8a762801d1706d9d16a8abfec4c452d15e5,275,78.6094,2.4336,265
0x9481d8bc76fb1b7d2f95733a6ec0b40d0cb1fffc,119,78.4504,1.1333,266
0x48dce14922e7db08646ba63bb2bb5cf09d0bc6a7,78,78.0,3.0,267
0xeb8414bd5f2ee602775b6aac2c7e5605bd599a2e,573,77.6883,19.7586,268
0xbf30d1a29d191c717e5d52a19dd572fd078336f1,112,77.6365,5.8947,269
0xcf1bfd19b1ab67a251ed749c7084e68778b9405b,127,77.5374,3.7353,270
0x0c54a765c77a88d9cda0bd7ad9b10422848d92ef,277,77.5207,4.9464,271
0xa2ec026b650affbdcaa20168b50ffb352ecd7927,472,77.3969,1.1919,272
0x9ab17bdaa2ab4a70aedd11a2a2641a14d5b23ddb,671,77.3918,1.4097,273
0x263944285219b5b3fee31a91da95acab87e5d27d,392,77.2658,5.7647,274
0x811b45b618307d788d22718d696dc6d1b02dc3c5,144,77.1604,1.7778,275
