scope,outcome,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p
oos_all,counterparty_breadth_gain_B4_vs_B0,event_count_7d,2000,-0.016893389321233163,0.4502028447245239,0.009866700896852718,0.6592222998940744
oos_all,counterparty_breadth_gain_B4_vs_B0,history_event_count_30d,2000,-0.04061282415057487,0.06938964265678164,-0.03706536763056125,0.09748981089398814
oos_all,new_counterparties_gain_B4_vs_B0,self_sensitivity,2000,-0.01184729226272472,0.5964486842813249,-0.01607653504748881,0.47241116896685875
oos_all,new_counterparties_gain_B4_vs_B0,market_sensitivity,2000,0.008619127478065185,0.7000705205969929,0.02454870451528316,0.2724969662365756
oos_all,new_counterparties_gain_B4_vs_B0,intervention_sensitivity,2000,-0.0033689782974063633,0.8803137257000357,-0.003675917369555771,0.8695030088081205
oos_all,new_counterparties_gain_B4_vs_B0,evidence_aligned_intervention_margin,2000,0.001423825826027186,0.9492603443703228,-0.016658174311805243,0.45653647580939627
oos_all,new_counterparties_gain_B4_vs_B0,llm_top_probability,2000,0.00622353989221172,0.7808942555452211,0.007123753805287965,0.7501900157378203
oos_all,new_counterparties_gain_B4_vs_B0,llm_probability_margin_top_second,2000,0.008477224496096069,0.7047748985571682,0.016044557210180724,0.4732926637411341
oos_all,new_counterparties_gain_B4_vs_B0,llm_abstain,2000,-0.009543156973143323,0.6697247159524768,-0.013998282646332516,0.5315369857919512
oos_all,new_counterparties_gain_B4_vs_B0,llm_mean_target_confidence,2000,-0.03502335289699048,0.11739706218621927,-0.008339659859388579,0.7093462494986603
oos_all,new_counterparties_gain_B4_vs_B0,llm_mean_target_entropy_nats,2000,0.025211173142177107,0.25976270124303347,0.006171174138033288,0.7826914030495904
oos_all,new_counterparties_gain_B4_vs_B0,hypothesis_entropy_nats,2000,-0.00037877479945380536,0.9864934692497354,-0.008469327236469919,0.7050370428086667
oos_all,new_counterparties_gain_B4_vs_B0,hypothesis_entropy_normalized,2000,-0.004958425229385641,0.824617304402708,-0.014172175001318668,0.5264499381353711
oos_all,new_counterparties_gain_B4_vs_B0,evidence_claim_count,2000,-0.019248206584135313,0.3895975114452189,-0.014884097288346032,0.5058856347236653
oos_all,new_counterparties_gain_B4_vs_B0,event_count_7d,2000,0.014569085710583098,0.5149325306402432,0.016374760238104247,0.4642340090434464
oos_all,new_counterparties_gain_B4_vs_B0,history_event_count_30d,2000,0.025848339130007704,0.24790897116263835,0.004824136610737326,0.8292930661188103
dev,activity_gain_B4_vs_B0,self_sensitivity,1000,0.04458860032840496,0.15884919084910426,0.03685045755414294,0.24432200518768266
dev,activity_gain_B4_vs_B0,market_sensitivity,1000,0.027703842435691815,0.3814951942126618,0.07882829799461412,0.012647885843225223
dev,activity_gain_B4_vs_B0,intervention_sensitivity,1000,0.04924216875099289,0.11966752858154003,0.06346081746449794,0.04482213371811373
dev,activity_gain_B4_vs_B0,evidence_aligned_intervention_margin,1000,0.045906142923646885,0.14688323824073554,0.04478169779864861,0.1570507964303965
dev,activity_gain_B4_vs_B0,llm_top_probability,1000,-0.007478153820121132,0.8132871632681512,0.029484497129249918,0.35163737564916914
dev,activity_gain_B4_vs_B0,llm_probability_margin_top_second,1000,0.00045162212549384215,0.9886196125705837,0.0471763429084765,0.13601107853932584
dev,activity_gain_B4_vs_B0,llm_abstain,1000,-0.007010260973933345,0.8247736950913479,-0.026797054197862134,0.39727977968023104
dev,activity_gain_B4_vs_B0,llm_mean_target_confidence,1000,-0.059830219529537196,0.05858086758925207,0.018792099199431006,0.5528014119034383
dev,activity_gain_B4_vs_B0,llm_mean_target_entropy_nats,1000,0.0425366468002734,0.17893129881686498,-0.018648563855624457,0.5558391255988575
dev,activity_gain_B4_vs_B0,hypothesis_entropy_nats,1000,0.019177703771746105,0.544681143393046,-0.011707409876081739,0.7115535444430207
dev,activity_gain_B4_vs_B0,hypothesis_entropy_normalized,1000,0.009727410269742803,0.7586681148766844,-0.050076496364558784,0.1135194565931181
dev,activity_gain_B4_vs_B0,evidence_claim_count,1000,-0.009104472219777069,0.7736877339223218,0.012966250124063106,0.6821483964227755
dev,activity_gain_B4_vs_B0,event_count_7d,1000,0.0017643491348751947,0.9555617757719768,0.012255144209132427,0.6987032634705533
dev,activity_gain_B4_vs_B0,history_event_count_30d,1000,-0.0014929667475980322,0.9623915003446188,-0.04476890790340661,0.1571694352614826
dev,active_days_gain_B4_vs_B0,self_sensitivity,1000,0.000533246477720227,0.9865629467868793,0.03195408954013783,0.3127488058735189
dev,active_days_gain_B4_vs_B0,market_sensitivity,1000,0.007317387171916158,0.8172295157387924,0.022916971442806945,0.46913514807266843
dev,active_days_gain_B4_vs_B0,intervention_sensitivity,1000,0.004651845637855173,0.8831943098010898,0.020428468150721545,0.5187559569703383
dev,active_days_gain_B4_vs_B0,evidence_aligned_intervention_margin,1000,0.012296464306556702,0.6977372944374526,0.01727794426648222,0.5852488355283164
dev,active_days_gain_B4_vs_B0,llm_top_probability,1000,0.014936645489144683,0.6370882834955631,0.03479251922842194,0.2716839916166035
dev,active_days_gain_B4_vs_B0,llm_probability_margin_top_second,1000,0.02105428233266604,0.5060275574023793,0.050824608020297694,0.10822048332147131
dev,active_days_gain_B4_vs_B0,llm_abstain,1000,0.0012240979581371297,0.9691606866291734,-0.004657974697991937,0.8830415166085287
dev,active_days_gain_B4_vs_B0,llm_mean_target_confidence,1000,-0.01694520955369347,0.5924958021880145,0.037549998886338795,0.2354768135315396
dev,active_days_gain_B4_vs_B0,llm_mean_target_entropy_nats,1000,-0.0026588707644144166,0.9330756224754951,-0.043702625989239643,0.16730058460813435
dev,active_days_gain_B4_vs_B0,hypothesis_entropy_nats,1000,-0.0003149134969933242,0.9920643836028238,-0.03686771415351314,0.2441010432416662
dev,active_days_gain_B4_vs_B0,hypothesis_entropy_normalized,1000,-0.021189186733543825,0.5033054011164206,-0.07436822233107304,0.0186704690872507
dev,active_days_gain_B4_vs_B0,evidence_claim_count,1000,0.0035856340670799318,0.909835326990967,0.017831007326638452,0.5732949594384533
dev,active_days_gain_B4_vs_B0,event_count_7d,1000,-0.023067616319090753,0.46621781693741965,-0.015186608975276962,0.631462237247433
dev,active_days_gain_B4_vs_B0,history_event_count_30d,1000,-0.04452739562036487,0.15942245090481447,-0.0355510148076299,0.261364978258113
dev,counterparty_breadth_gain_B4_vs_B0,self_sensitivity,1000,0.010221935124016332,0.7468087570476922,0.040504627584280875,0.20061830107053058
dev,counterparty_breadth_gain_B4_vs_B0,market_sensitivity,1000,0.024383896679718468,0.44115954223148973,0.05063309406332568,0.10955801972928753
dev,counterparty_breadth_gain_B4_vs_B0,intervention_sensitivity,1000,0.02177624415368598,0.4915500232038969,0.05891536533168468,0.06255305305058781
dev,counterparty_breadth_gain_B4_vs_B0,evidence_aligned_intervention_margin,1000,0.01380116045630744,0.6629049890029081,0.043587795003971,0.1684202101311503
dev,counterparty_breadth_gain_B4_vs_B0,llm_top_probability,1000,-0.03881835241216167,0.220021464530677,-0.01587472272274429,0.6160850380201377
dev,counterparty_breadth_gain_B4_vs_B0,llm_probability_margin_top_second,1000,-0.03340140487346147,0.29132538988221257,-0.006474227924635532,0.8379790894419825
dev,counterparty_breadth_gain_B4_vs_B0,llm_abstain,1000,-0.0011646799239196082,0.9706569437186726,-0.015837113878149765,0.6169212281358286
dev,counterparty_breadth_gain_B4_vs_B0,llm_mean_target_confidence,1000,-0.05040481175964356,0.11116935513413839,-0.007401738893450088,0.8151604432037208
dev,counterparty_breadth_gain_B4_vs_B0,llm_mean_target_entropy_nats,1000,0.022154930216317748,0.4840459391039914,-0.008791140588587154,0.7812749506375721
dev,counterparty_breadth_gain_B4_vs_B0,hypothesis_entropy_nats,1000,0.0392423791280079,0.21502033691432992,0.031220210881764503,0.3239979996816949
