table,condition,level,split,unit,target,n,mean_delta_B4_minus_B0,median_delta_B4_minus_B0,degradation_rate_delta_gt_0,severe_degradation_rate_delta_gt_0_1,mean_gain_B4_vs_B0
categorical,b4_gate_pass_flag,nan,test,target,new_counterparties,1000,0.016458277374134203,-0.00436141181747425,0.494,0.305,-0.016458277374134203
categorical,llm_abstention_flag,0.0,dev,macro,macro,999,0.017374573582833227,-0.015875000394901733,0.44244244244244246,0.3003003003003003,-0.017374573582833227
categorical,llm_abstention_flag,0.0,test,macro,macro,995,0.02849235086476273,-0.005468834409942766,0.48542713567839196,0.3336683417085427,-0.02849235086476273
categorical,llm_abstention_flag,1.0,dev,macro,macro,1,0.07324196595786446,0.07324196595786446,1.0,0.0,-0.07324196595786446
categorical,llm_abstention_flag,1.0,test,macro,macro,5,0.24210297867122454,-0.09109118095558166,0.2,0.2,-0.24210297867122454
categorical,llm_abstention_flag,nan,dev,target,active_days,1000,0.02449111219505694,-0.0190893843065425,0.443,0.319,-0.02449111219505694
categorical,llm_abstention_flag,nan,dev,target,activity,1000,0.002521591206409976,-0.01416656227381849,0.444,0.282,-0.002521591206409976
categorical,llm_abstention_flag,nan,dev,target,counterparty_breadth,1000,0.026327328385677865,-0.013950786033131102,0.457,0.308,-0.026327328385677865
categorical,llm_abstention_flag,nan,dev,target,new_counterparties,1000,0.016381732113688253,-0.015345619190747799,0.443,0.283,-0.016381732113688253
categorical,llm_abstention_flag,nan,test,target,active_days,1000,0.02777800524219102,-0.006913795574433043,0.487,0.332,-0.02777800524219102
categorical,llm_abstention_flag,nan,test,target,activity,1000,0.04242612279451092,-0.005123953500593597,0.485,0.329,-0.04242612279451092
categorical,llm_abstention_flag,nan,test,target,counterparty_breadth,1000,0.03157921060434402,0.0008054753200636838,0.505,0.331,-0.03157921060434402
categorical,llm_abstention_flag,nan,test,target,new_counterparties,1000,0.016458277374134203,-0.00436141181747425,0.494,0.305,-0.016458277374134203
categorical,target,active_days,dev,target,active_days,1000,0.02449111219505694,-0.0190893843065425,0.443,0.319,-0.02449111219505694
categorical,target,active_days,test,target,active_days,1000,0.02777800524219102,-0.006913795574433043,0.487,0.332,-0.02777800524219102
categorical,target,activity,dev,target,activity,1000,0.002521591206409976,-0.01416656227381849,0.444,0.282,-0.002521591206409976
categorical,target,activity,test,target,activity,1000,0.04242612279451092,-0.005123953500593597,0.485,0.329,-0.04242612279451092
categorical,target,counterparty_breadth,dev,target,counterparty_breadth,1000,0.026327328385677865,-0.013950786033131102,0.457,0.308,-0.026327328385677865
categorical,target,counterparty_breadth,test,target,counterparty_breadth,1000,0.03157921060434402,0.0008054753200636838,0.505,0.331,-0.03157921060434402
categorical,target,macro,dev,macro,macro,1000,0.017430440975208263,-0.01587417314255716,0.443,0.3,-0.017430440975208263
categorical,target,macro,test,macro,macro,1000,0.029560404003795043,-0.006318106604392942,0.484,0.333,-0.029560404003795043
categorical,target,new_counterparties,dev,target,new_counterparties,1000,0.016381732113688253,-0.015345619190747799,0.443,0.283,-0.016381732113688253
categorical,target,new_counterparties,test,target,new_counterparties,1000,0.016458277374134203,-0.00436141181747425,0.494,0.305,-0.016458277374134203
macro_quantile,llm_top_probability,Q1,oos_all,macro,macro,500,0.019299830058848697,-0.011837085257365192,0.442,0.292,-0.019299830058848697
macro_quantile,llm_top_probability,Q2,oos_all,macro,macro,500,0.014388239148483245,-0.0067221817569379505,0.48,0.346,-0.014388239148483245
macro_quantile,llm_top_probability,Q3,oos_all,macro,macro,500,0.019776221062222397,-0.024201219519168767,0.43,0.28,-0.019776221062222397
macro_quantile,llm_top_probability,Q4,oos_all,macro,macro,500,0.04051739968845224,0.0006539087016620366,0.502,0.348,-0.04051739968845224
macro_quantile,hypothesis_entropy_nats,Q1,oos_all,macro,macro,500,0.029042924996484934,-0.01791356905861667,0.456,0.298,-0.029042924996484934
macro_quantile,hypothesis_entropy_nats,Q2,oos_all,macro,macro,500,0.0335195474549636,-0.005161225345400863,0.48,0.328,-0.0335195474549636
macro_quantile,hypothesis_entropy_nats,Q3,oos_all,macro,macro,500,0.009380021001820968,-0.016591791365381935,0.444,0.318,-0.009380021001820968
macro_quantile,hypothesis_entropy_nats,Q4,oos_all,macro,macro,500,0.0220391965047371,-0.007738352601588838,0.474,0.322,-0.0220391965047371
