split,scope,model,target,n,log_loss,brier,balanced_accuracy,macro_f1
dev,low_activity,B1_M1_DETERMINISTIC,activity,500,0.6917717263761569,0.4109453247114674,0.5981008857456775,0.5969707872544564
dev,low_activity,B1_M1_DETERMINISTIC,active_days,500,0.7114002462009235,0.42563586617306215,0.5821762925421462,0.5733713200379866
dev,low_activity,B1_M1_DETERMINISTIC,counterparty_breadth,500,0.6836108364875677,0.40102381645275686,0.6083734778536063,0.6020815883708409
dev,low_activity,B1_M1_DETERMINISTIC,new_counterparties,500,0.5932657110464886,0.35660329259858753,0.5984316810910045,0.5846119797244235
dev,low_activity,B2_M1_SINGLE_LLM,activity,500,0.6819868832298109,0.4052524138277227,0.6150973349802044,0.6073739468588452
dev,low_activity,B2_M1_SINGLE_LLM,active_days,500,0.694565602324305,0.4104106817473869,0.584499172913807,0.5702661324025682
dev,low_activity,B2_M1_SINGLE_LLM,counterparty_breadth,500,0.6698290104030786,0.3963477005913276,0.6120863391036012,0.5975293669525307
dev,low_activity,B2_M1_SINGLE_LLM,new_counterparties,500,0.5733718303460461,0.33909002844699204,0.6137677446253371,0.5992441304941305
dev,low_activity,B3_M1_MULTI_LLM,activity,500,0.7029771629034895,0.39952148745196453,0.6198607942357591,0.6055145867375044
dev,low_activity,B3_M1_MULTI_LLM,active_days,500,0.715646315236272,0.4102302319046332,0.6021583430120016,0.5748307976934297
dev,low_activity,B3_M1_MULTI_LLM,counterparty_breadth,500,0.7030709764811554,0.4053601336217951,0.6095849097153795,0.5979677202264922
dev,low_activity,B3_M1_MULTI_LLM,new_counterparties,500,0.5958678997083154,0.35074315221779134,0.6254710269187059,0.6115461813070336
dev,low_activity,B4_M1_VERIFIED_LLM,activity,500,0.6996203517811259,0.38020011333185216,0.6192673585638976,0.5994453517208008
dev,low_activity,B4_M1_VERIFIED_LLM,active_days,500,0.7308236597407202,0.40460720700016906,0.5965315172632246,0.5647606573873051
dev,low_activity,B4_M1_VERIFIED_LLM,counterparty_breadth,500,0.7118533214255947,0.39851935809588684,0.6074134561187954,0.5840343515365388
dev,low_activity,B4_M1_VERIFIED_LLM,new_counterparties,500,0.621759627612035,0.34542029799239643,0.6260644085349042,0.6042007393729475
dev,active,B0_M1,activity,500,0.8404462636693454,0.5312091053256094,0.5977619047619047,0.6032013105574433
dev,active,B0_M1,active_days,500,1.0406888070504634,0.6067929785947026,0.5515763741649143,0.5474270372544803
dev,active,B0_M1,counterparty_breadth,500,0.9166875061555138,0.5446194965878568,0.6037689142914177,0.6063404341857745
dev,active,B0_M1,new_counterparties,500,0.9041549262640649,0.5285680552134167,0.5961555878613359,0.5932423433263811
dev,active,B1_M1_DETERMINISTIC,activity,500,0.8372814827939058,0.5195144713440548,0.6128095238095238,0.6176953700219724
dev,active,B1_M1_DETERMINISTIC,active_days,500,1.0339630580581955,0.5989484435128188,0.5825860098247083,0.577761501145413
dev,active,B1_M1_DETERMINISTIC,counterparty_breadth,500,0.909291319032931,0.5435468533148694,0.5996616013280552,0.602820029019291
dev,active,B1_M1_DETERMINISTIC,new_counterparties,500,0.9012641661501056,0.5199288497921823,0.6109827325215341,0.6102730821633234
dev,active,B2_M1_SINGLE_LLM,activity,500,0.8414099162287296,0.5224470812624659,0.625,0.6268102739106983
dev,active,B2_M1_SINGLE_LLM,active_days,500,1.0348275615718976,0.6108222056391159,0.5640721932832501,0.5588753661717111
dev,active,B2_M1_SINGLE_LLM,counterparty_breadth,500,0.8914560360787491,0.5304846630680808,0.6162726388051026,0.6171150429132138
dev,active,B2_M1_SINGLE_LLM,new_counterparties,500,0.9000355857076132,0.5246512992452323,0.6093372781719899,0.6077035156984395
dev,active,B3_M1_MULTI_LLM,activity,500,0.8555813234144286,0.5264153716265125,0.6282857142857143,0.6313231578657277
dev,active,B3_M1_MULTI_LLM,active_days,500,1.0979341966899614,0.6359262827308817,0.5442893519124443,0.5405184260007565
dev,active,B3_M1_MULTI_LLM,counterparty_breadth,500,0.9456186522166088,0.5501743360873144,0.6151863284294515,0.6166421570990502
dev,active,B3_M1_MULTI_LLM,new_counterparties,500,0.9251296661098993,0.5358330544744434,0.6142898038181005,0.6106478821815634
dev,active,B4_M1_VERIFIED_LLM,activity,500,0.8273062872208407,0.5046391501182447,0.6475238095238095,0.645017723027717
dev,active,B4_M1_VERIFIED_LLM,active_days,500,1.059123416300885,0.6169139906484479,0.5612195231904417,0.5565420647658559
