cutoff,score,k,selection,n_nodes,future_volume_mean,future_new_counterparties_mean,future_active_days_mean,history_volume_mean,spearman,p_value
2022-07-01,temporal_surprise,100.0,top,4869,29.96,1.38,4.96,47.7,,
2022-07-01,temporal_surprise,100.0,random,4869,5.68,0.94,1.47,7.86,,
2022-07-01,temporal_surprise,250.0,top,4869,24.216,1.764,4.336,32.44,,
2022-07-01,temporal_surprise,250.0,random,4869,5.856,0.892,1.496,7.648,,
2022-07-01,temporal_surprise,500.0,top,4869,72.044,3.196,3.664,59.568,,
2022-07-01,temporal_surprise,500.0,random,4869,5.708,0.898,1.534,8.356,,
2022-07-01,temporal_surprise,,spearman_future_volume,4869,,,,,0.14654961746340875,8.773584232206304e-25
2022-08-01,volume,50.0,top,4468,580.0,16.9,10.44,692.84,,
2022-08-01,volume,50.0,random,4468,2.68,0.64,0.72,7.88,,
2022-08-01,volume,100.0,top,4468,309.64,9.32,7.75,387.56,,
2022-08-01,volume,100.0,random,4468,3.7,0.83,1.09,9.2,,
2022-08-01,volume,250.0,top,4468,138.984,5.184,5.92,185.152,,
2022-08-01,volume,250.0,random,4468,5.4,0.904,1.308,11.6,,
2022-08-01,volume,500.0,top,4468,80.74,3.614,4.78,106.928,,
2022-08-01,volume,500.0,random,4468,6.604,0.9,1.4,11.476,,
2022-08-01,volume,,spearman_future_volume,4468,,,,,0.4343874896119222,4.465536297291647e-205
2022-08-01,active_days,50.0,top,4468,540.0,18.54,11.06,628.96,,
2022-08-01,active_days,50.0,random,4468,4.92,0.78,1.36,11.04,,
2022-08-01,active_days,100.0,top,4468,298.18,10.91,9.35,350.7,,
2022-08-01,active_days,100.0,random,4468,9.78,1.12,1.64,11.1,,
2022-08-01,active_days,250.0,top,4468,137.536,6.176,6.788,166.336,,
2022-08-01,active_days,250.0,random,4468,8.048,1.14,1.764,10.792,,
2022-08-01,active_days,500.0,top,4468,79.032,4.068,5.118,96.62,,
2022-08-01,active_days,500.0,random,4468,9.244,1.068,1.714,11.808,,
2022-08-01,active_days,,spearman_future_volume,4468,,,,,0.4733682137346046,2.3218271707170536e-248
2022-08-01,unique_counterparties,50.0,top,4468,520.96,20.88,8.44,586.04,,
2022-08-01,unique_counterparties,50.0,random,4468,4.28,0.84,1.4,13.48,,
2022-08-01,unique_counterparties,100.0,top,4468,281.14,12.66,6.85,318.24,,
2022-08-01,unique_counterparties,100.0,random,4468,6.82,1.03,1.8,14.04,,
2022-08-01,unique_counterparties,250.0,top,4468,122.0,6.912,4.924,140.792,,
2022-08-01,unique_counterparties,250.0,random,4468,8.336,1.0,1.776,15.472,,
2022-08-01,unique_counterparties,500.0,top,4468,68.34,4.54,4.05,81.712,,
2022-08-01,unique_counterparties,500.0,random,4468,7.56,1.008,1.686,12.84,,
2022-08-01,unique_counterparties,,spearman_future_volume,4468,,,,,0.3319989440641084,1.9933221376191949e-115
2022-08-01,counterparty_entropy,50.0,top,4468,506.96,15.78,5.28,569.4,,
2022-08-01,counterparty_entropy,50.0,random,4468,4.16,0.92,1.24,9.76,,
2022-08-01,counterparty_entropy,100.0,top,4468,265.1,8.75,4.58,303.7,,
2022-08-01,counterparty_entropy,100.0,random,4468,4.12,0.74,1.16,10.98,,
2022-08-01,counterparty_entropy,250.0,top,4468,124.48,5.612,4.732,147.08,,
2022-08-01,counterparty_entropy,250.0,random,4468,5.992,0.836,1.444,11.872,,
2022-08-01,counterparty_entropy,500.0,top,4468,70.04,3.524,3.706,81.52,,
2022-08-01,counterparty_entropy,500.0,random,4468,9.608,0.964,1.676,12.644,,
2022-08-01,counterparty_entropy,,spearman_future_volume,4468,,,,,0.3275654305681107,3.0709867961913736e-112
2022-08-01,burstiness,50.0,top,4468,88.4,3.24,7.72,119.2,,
2022-08-01,burstiness,50.0,random,4468,12.28,0.7,1.62,11.24,,
2022-08-01,burstiness,100.0,top,4468,68.74,3.55,6.99,94.66,,
2022-08-01,burstiness,100.0,random,4468,10.16,0.87,1.75,11.34,,
2022-08-01,burstiness,250.0,top,4468,44.088,2.824,5.756,67.768,,
2022-08-01,burstiness,250.0,random,4468,8.56,1.004,1.7,10.608,,
2022-08-01,burstiness,500.0,top,4468,33.42,2.494,4.678,50.268,,
2022-08-01,burstiness,500.0,random,4468,56.204,2.446,1.86,62.904,,
2022-08-01,burstiness,,spearman_future_volume,4468,,,,,0.43012219600638335,1.1266913680903665e-200
2022-08-01,reciprocity,50.0,top,4468,520.96,20.88,8.44,586.04,,
2022-08-01,reciprocity,50.0,random,4468,4.92,0.78,1.36,11.04,,
2022-08-01,reciprocity,100.0,top,4468,281.14,12.66,6.85,318.24,,
2022-08-01,reciprocity,100.0,random,4468,9.78,1.12,1.64,11.1,,
2022-08-01,reciprocity,250.0,top,4468,122.0,6.912,4.924,140.792,,
2022-08-01,reciprocity,250.0,random,4468,8.048,1.14,1.764,10.792,,
2022-08-01,reciprocity,500.0,top,4468,68.34,4.54,4.05,81.712,,
2022-08-01,reciprocity,500.0,random,4468,9.244,1.068,1.714,11.808,,
2022-08-01,reciprocity,,spearman_future_volume,4468,,,,,0.3319989440641084,1.9933221376191949e-115
2022-08-01,novelty,50.0,top,4468,13.36,2.22,2.56,12.24,,
2022-08-01,novelty,50.0,random,4468,6.2,0.94,1.28,13.24,,
2022-08-01,novelty,100.0,top,4468,10.6,2.15,2.41,11.04,,
2022-08-01,novelty,100.0,random,4468,6.14,1.01,1.43,10.9,,
2022-08-01,novelty,250.0,top,4468,9.368,1.996,2.348,10.552,,
2022-08-01,novelty,250.0,random,4468,7.272,1.004,1.532,10.76,,
2022-08-01,novelty,500.0,top,4468,9.876,1.944,2.186,9.712,,
2022-08-01,novelty,500.0,random,4468,7.7,0.918,1.44,9.572,,
2022-08-01,novelty,,spearman_future_volume,4468,,,,,0.09932551329370519,2.8556980904176772e-11
2022-08-01,temporal_surprise,50.0,top,4468,37.64,0.58,3.44,68.68,,
2022-08-01,temporal_surprise,50.0,random,4468,5.52,0.92,1.52,6.96,,
2022-08-01,temporal_surprise,100.0,top,4468,33.12,1.52,3.68,51.68,,
2022-08-01,temporal_surprise,100.0,random,4468,10.26,0.99,1.68,13.5,,
2022-08-01,temporal_surprise,250.0,top,4468,119.76,4.28,3.664,139.872,,
2022-08-01,temporal_surprise,250.0,random,4468,8.592,1.032,1.512,12.056,,
2022-08-01,temporal_surprise,500.0,top,4468,64.624,2.632,2.836,76.356,,
2022-08-01,temporal_surprise,500.0,random,4468,8.152,1.124,1.68,11.464,,
2022-08-01,temporal_surprise,,spearman_future_volume,4468,,,,,0.1084923988251206,3.557526029313945e-13
