target_address,bridges_events,icf_score_p1,icf_raw_signal
0xdd0d1b8ad874a15d020e7b2af83e213f1f25f066,135,101.43503888068719,2.7
0x67a91d0e355545e4342a6c233f47712218ea7fec,908,100.48077987331115,8.990099009900996
0xc569ddad0ba0f22fce53b0422a0f80acc9f8b1d3,316,99.58200861090086,2.6115702479338836
0x9440505f4d2a69f3b4d2e90c9bcc51e526bd7574,1026,97.83126640353515,1.302030456852793
0x25665e8b95792c23d6167d2d0903fdc6bfef87e9,465,97.7018277691601,2.44736842105263
0x18651bc48bc18110c99332f63bb921cf0592ca53,459,97.57841539428364,8.196428571428577
0xa3ffe0852407580a043e704d1767adfc6d7acc41,170,96.75989550918054,8.095238095238098
0x46b2bd5c888e6d57a839c559fd6076f2c15a8cb1,207,96.51097163941634,0.8483606557377049
0xc2978441f46a76c60e0cd59e986498b75a40572d,1276,96.00401073245536,1.024899598393576
0xb86c04bc25699f2167ce7ef83356ae168afe2f74,270,95.96896545050669,2.4545454545454546
0xb012a1bdca34e1d0c2267bb50e6c53c8042eb4b6,101,95.14542682616961,4.208333333333333
0x655198359d6f0f995aa88f41d8e94354e37ebe7c,331,95.14410716407316,3.343434343434345
0x38ff9837ccddf029f1fd319f9252acb1881d9927,823,94.49397422328875,2.032098765432096
0xc68d994c192e1fcdcf281f9579c3337d9b618775,132,94.47843852906595,0.5972850678733032
0x4d42d679cc113ff293f96e1b820209c661ee32e6,312,94.38196303822043,3.029126213592232
0x3df364ed7e8a887f7f9c240f7e281a4ea05ce03f,159,94.08468468468467,0.567857142857143
0x4d375162aa60bd039b5cd8f75f60b328f8002779,1185,93.89375337494171,1.7050359712230254
0xb7a21a89e29dd4529c16e6857418ffa2d81bcd3a,305,93.67733355654934,38.125
0x56e106c1aa3ba30888a6c6a577ac895bb01111ac,685,93.38505039740976,1.3755020080321272
0x9e0149f7cc28c93a3b5f76ab3e8a2a22d14435b5,101,92.84346657836208,2.3488372093023253
0x18b0026ddc8df37e932761bfe8c82603799aa432,234,92.71066364462708,1.3684210526315788
0x59ad46edbb8266b3280502445c3eacf7eb54690e,163,91.74690461077262,2.9636363636363643
0x08c3a0ea4ea8611a0e2f6fe85532d8728f9ce85d,463,91.6228423526709,1.9871244635193146
0x6e1439897528baf2d3da007585836a64298ff854,402,91.61327583351684,4.8433734939759026
0x8e0db33daf2bd5237fa3c913518b81c468cb5b1c,211,91.3941581848693,0.8577235772357722
0x2ea4815f47d685ed317e8bd243b89bcb26b369fa,1310,90.61725267366725,0.9548104956268195
0x820948a2e6e449d46b670fe6aa51e6d569f78d04,421,90.40372808640971,60.14285714285718
0x32e3adab13ce9dc388da4a74fa2b7cad5af2de53,273,90.3793628780308,6.5000000000000036
0x1f687ff00fa6b0ce7825e9f90ee4f05b5b8ecee6,230,90.24443763404764,0.8363636363636363
0xab7afccc70c9fe594849d7a2c3282af71e5e0ac5,566,90.04713533980794,5.339622641509434
